,region,award_amd_det_schedule_pk_9,award_amd_det_quality_pk_9,award_amd_det_quality_pk_9_oe,award_amd_det_sustain_pk_9,award_amd_det_sustain_pk_9_oe,award_amd_det_health_pk_9,award_amd_det_health_pk_9_oe,award_amd_det_enviro_pk_9,award_amd_det_enviro_pk_9_oe,award_amd_det_dis_acc_pk_9,award_amd_det_dis_acc_pk_9_oe,award_amd_det_other_pk_9,award_amd_det_other_pk_9_oe,award_amd_det_quantity_pk_10,award_amd_det_capacity_pk_10,award_amd_det_schedule_pk_10,award_amd_det_quality_pk_10,award_amd_det_quality_pk_10_oe,award_amd_det_sustain_pk_10,award_amd_det_sustain_pk_10_oe,award_amd_det_health_pk_10,award_amd_det_health_pk_10_oe,award_amd_det_enviro_pk_10,award_amd_det_enviro_pk_10_oe,award_amd_det_dis_acc_pk_10,award_amd_det_dis_acc_pk_10_oe,award_amd_det_other_pk_10,award_amd_det_other_pk_10_oe,award_amd_det_quantity_pk_11,award_amd_det_capacity_pk_11,award_amd_det_schedule_pk_11,award_amd_det_quality_pk_11,award_amd_det_quality_pk_11_oe,award_amd_det_sustain_pk_11,award_amd_det_sustain_pk_11_oe,award_amd_det_health_pk_11,award_amd_det_health_pk_11_oe,award_amd_det_enviro_pk_11,award_amd_det_enviro_pk_11_oe,award_amd_det_dis_acc_pk_11,award_amd_det_dis_acc_pk_11_oe,award_amd_det_other_pk_11,award_amd_det_other_pk_11_oe,award_amd_det_quantity_pk_12,award_amd_det_capacity_pk_12,award_amd_det_schedule_pk_12,award_amd_det_quality_pk_12,award_amd_det_quality_pk_12_oe,award_amd_det_sustain_pk_12,award_amd_det_sustain_pk_12_oe,award_amd_det_health_pk_12,award_amd_det_health_pk_12_oe,award_amd_det_enviro_pk_12,award_amd_det_enviro_pk_12_oe,award_amd_det_dis_acc_pk_12,award_amd_det_dis_acc_pk_12_oe,award_amd_det_other_pk_12,award_amd_det_other_pk_12_oe,award_amd_det_quantity_pk_13,award_amd_det_capacity_pk_13,award_amd_det_schedule_pk_13,award_amd_det_quality_pk_13,award_amd_det_quality_pk_13_oe,award_amd_det_sustain_pk_13,award_amd_det_sustain_pk_13_oe,award_amd_det_health_pk_13,award_amd_det_health_pk_13_oe,award_amd_det_enviro_pk_13,award_amd_det_enviro_pk_13_oe,award_amd_det_dis_acc_pk_13,award_amd_det_dis_acc_pk_13_oe,award_amd_det_other_pk_13,award_amd_det_other_pk_13_oe,award_amd_det_quantity_pk_14,award_amd_det_capacity_pk_14,award_amd_det_schedule_pk_14,award_amd_det_quality_pk_14,award_amd_det_quality_pk_14_oe,award_amd_det_sustain_pk_14,award_amd_det_sustain_pk_14_oe,award_amd_det_health_pk_14,award_amd_det_health_pk_14_oe,award_amd_det_enviro_pk_14,award_amd_det_enviro_pk_14_oe,award_amd_det_dis_acc_pk_14,award_amd_det_dis_acc_pk_14_oe,award_amd_det_other_pk_14,award_amd_det_other_pk_14_oe,award_amd_det_quantity_pk_15,award_amd_det_capacity_pk_15,award_amd_det_schedule_pk_15,award_amd_det_quality_pk_15,award_amd_det_quality_pk_15_oe,award_amd_det_sustain_pk_15,award_amd_det_sustain_pk_15_oe,award_amd_det_health_pk_15,award_amd_det_health_pk_15_oe,award_amd_det_enviro_pk_15,award_amd_det_enviro_pk_15_oe,award_amd_det_dis_acc_pk_15,award_amd_det_dis_acc_pk_15_oe,award_amd_det_other_pk_15,award_amd_det_other_pk_15_oe,award_amd_det_quantity_pk_16,award_amd_det_capacity_pk_16,award_amd_det_schedule_pk_16,award_amd_det_quality_pk_16,award_amd_det_quality_pk_16_oe,award_amd_det_sustain_pk_16,award_amd_det_sustain_pk_16_oe,award_amd_det_health_pk_16,award_amd_det_health_pk_16_oe,award_amd_det_enviro_pk_16,award_amd_det_enviro_pk_16_oe,award_amd_det_dis_acc_pk_16,award_amd_det_dis_acc_pk_16_oe,award_amd_det_other_pk_16,award_amd_det_other_pk_16_oe,sub_ag_end_mod,sub_ag_end_mod_oe,sub_ag_budg_mod,sub_ag_budg_mod_oe,des_std_same,des_std_cont,des_std_cont_1,des_std_cont_2,des_std_cont_3,des_std_cont_4,des_std_cont_5,des_std_cont_6,des_std_cont_7,des_std_cont_8,des_std_cont_9,des_std_cont_9_oe,des_std_cont_96,seis_des_pk,seis_deisstd_pk,seis_deisstd_pk_1,seis_deisstd_pk_2,seis_deisstd_pk_3,seis_deisstd_pk_4,seis_deisstd_pk_5,seis_deisstd_pk_6,seis_deisstd_pk_7,seis_deisstd_pk_8,seis_deisstd_pk_9,seis_deisstd_pk_9_oe,seis_deisstd_pk_96,seis_cat_pk,seis_cat_pk_oe,hurdes_pk,flood_des_pk,wind_std_pk,wind_std_pk_oe,const_doc_same,const_doc_des_basis_pk,const_doc_des_plan_pk,const_doc_geo_tech_pk,const_doc_top_sur_pk,const_doc_env_ass_pk,stkrch_pk,stkprsn_pk,rep_freq_prime_pk,rep_freq_prime_pk_oe,rep_freq_sup_eng_pk,rep_freq_sup_eng_pk_oe,prog_rep_pk,prog_rep_pk_2,prog_rep_pk_3,prog_rep_pk_4,prog_rep_pk_5,prog_rep_pk_6,prog_rep_pk_7,prog_rep_pk_8,prog_rep_pk_9,prog_rep_pk_10,prog_rep_pk_11,prog_rep_pk_13,prog_rep_pk_13_oe,prog_rep_pk_96,eng_over_same,eng_approv_pk,eng_approv_pk_1,eng_approv_pk_2,eng_approv_pk_3,eng_approv_pk_4,eng_approv_pk_5,eng_approv_pk_7,eng_approv_pk_7_oe,eng_approv_pk_0,eng_approv_pk_96,des_subovr,des_over_pk,eng_over_pk,eng_over_pk_oe,sup_con_pk,con_over_same,con_over_pk,con_over_pk_oe,site_insp_us_pk,site_insp_us_pk_oe,site_insp_tcn_pk,site_insp_tcn_pk_oe,site_insp_host_staff_pk,site_insp_host_staff_pk_oe,site_insp_int_ae_pk,site_insp_int_ae_pk_oe,site_insp_host_ae_pk,site_insp_host_ae_pk_oe,matl_test_pk,matl_test_pk_oe,procure_pk,secinfra_pk,cap_assess_same,cap_assess_pk,cap_assess_pk_oe,assess_outcome_pk,con_train_pk,con_train_pk_oe,cap_build_pk,cap_build_pk_oe,award_std_pk_new,dlp_pk_new,des_std_cont_1_new,des_std_cont_2_new,des_std_cont_3_new,des_std_cont_4_new,des_std_cont_5_new,des_std_cont_6_new,des_std_cont_7_new,des_std_cont_8_new,des_std_cont_9_new,des_std_cont_96_new,seis_des_pk_new,seis_deisstd_pk_1_new,seis_deisstd_pk_2_new,seis_deisstd_pk_3_new,seis_deisstd_pk_4_new,seis_deisstd_pk_5_new,seis_deisstd_pk_6_new,seis_deisstd_pk_7_new,seis_deisstd_pk_8_new,seis_deisstd_pk_9_new,seis_deisstd_pk_96_new,seis_cat_pk_new,hurdes_pk_new,flood_des_pk_new,wind_std_pk_new,const_doc_des_basis_pk_new,const_doc_des_plan_pk_new,const_doc_geo_tech_pk_new,const_doc_top_sur_pk_new,const_doc_env_ass_pk_new,stkrch_pk_new,stkprsn_pk_new,rep_freq_prime_pk_new,rep_freq_sup_eng_pk_new,prog_rep_pk_2_new,prog_rep_pk_3_new,prog_rep_pk_4_new,prog_rep_pk_5_new,prog_rep_pk_6_new,prog_rep_pk_7_new,prog_rep_pk_8_new,prog_rep_pk_9_new,prog_rep_pk_10_new,prog_rep_pk_11_new,prog_rep_pk_13_new,prog_rep_pk_96_new,eng_approv_pk_0_new,eng_approv_pk_1_new,eng_approv_pk_2_new,eng_approv_pk_3_new,eng_approv_pk_4_new,eng_approv_pk_5_new,eng_approv_pk_7_new,eng_approv_pk_96_new,des_subovr_new,des_over_pk_new,eng_over_pk_new,sup_con_pk_new,con_over_pk_new,site_insp_us_pk_new,site_insp_tcn_pk_new,site_insp_host_staff_pk_new,site_insp_int_ae_pk_new,site_insp_host_ae_pk_new,matl_test_pk_new,procure_pk_new,secinfra_pk_new,cap_assess_pk_new,assess_outcome_pk_new,con_train_pk_new,cap_build_pk_new,risk_reg_pk_new,gov_consult_pk_new
411,Columbia,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,,-8,-8.0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,,-8,-8,-8,,-8,,-8,,-8,,-8,,-8,,3,,0,-1,-8,-8,,-8,-8,,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,3,0,-1,-8,-8,-8,-8,-8,-8
412,Columbia,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,,-8,-8.0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,,-8,-8,-8,,-8,,-8,,-8,,-8,,-8,,3,,0,-1,-8,-8,,-8,-8,,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,3,0,-1,-8,-8,-8,-8,-8,-8
413,Columbia,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,,-8,-8.0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,,-8,-8,-8,,-8,,-8,,-8,,-8,,-8,,3,,0,-1,-8,-8,,-8,-8,,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,3,0,-1,-8,-8,-8,-8,-8,-8
414,Columbia,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,,-8,-8.0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,,-8,-8,-8,,-8,,-8,,-8,,-8,,-8,,3,,0,-1,-8,-8,,-8,-8,,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,3,0,-1,-8,-8,-8,-8,-8,-8
415,Columbia,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,,-8,-8.0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,,-8,-8,-8,,-8,,-8,,-8,,-8,,-8,,3,,0,-1,-8,-8,,-8,-8,,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,3,0,-1,-8,-8,-8,-8,-8,-8
416,Columbia,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,,-8,-8.0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,,-8,-8,-8,,-8,,-8,,-8,,-8,,-8,,3,,0,-1,-8,-8,,-8,-8,,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,3,0,-1,-8,-8,-8,-8,-8,-8
417,Columbia,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,,-8,-8.0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,,-8,-8,-8,,-8,,-8,,-8,,-8,,-8,,3,,0,-1,-8,-8,,-8,-8,,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,3,0,-1,-8,-8,-8,-8,-8,-8
418,Columbia,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,,-8,-8.0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,,-8,-8,-8,,-8,,-8,,-8,,-8,,-8,,3,,0,-1,-8,-8,,-8,-8,,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,3,0,-1,-8,-8,-8,-8,-8,-8
419,Columbia,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,,-8,-8.0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,,-8,-8,-8,,-8,,-8,,-8,,-8,,-8,,3,,0,-1,-8,-8,,-8,-8,,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,3,0,-1,-8,-8,-8,-8,-8,-8
420,Columbia,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,,-8,-8.0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,,-8,-8,-8,,-8,,-8,,-8,,-8,,-8,,3,,0,-1,-8,-8,,-8,-8,,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,3,0,-1,-8,-8,-8,-8,-8,-8
421,Columbia,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,,-8,-8.0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,,-8,-8,-8,,-8,,-8,,-8,,-8,,-8,,3,,0,-1,-8,-8,,-8,-8,,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,3,0,-1,-8,-8,-8,-8,-8,-8
